iter	Logloss	Accuracy
0	0.5004911681	0.8385444268
1	0.4235064968	0.8373962197
2	0.3997597295	0.837572867
3	0.3792038668	0.839427663
4	0.370863043	0.8396926338
5	0.3636819508	0.8426073132
6	0.360797611	0.842872284
7	0.357895671	0.8445504328
8	0.3552966193	0.8458752871
9	0.3542537675	0.8469351705
10	0.3531704536	0.8480833775
11	0.3521073685	0.8488782901
12	0.3505638513	0.8491432609
13	0.3492384264	0.8494965554
14	0.3478730669	0.8503797916
15	0.3463649126	0.8510863805
16	0.3459258977	0.851439675
17	0.3456756301	0.8518812931
18	0.345009549	0.8516163222
19	0.3445119415	0.8520579403
20	0.3442318373	0.8522345875
21	0.3426777336	0.8533827946
22	0.3420633541	0.8538244126
23	0.3416505608	0.8535594418
24	0.34062779	0.8539127363
25	0.3400919504	0.8538244126
26	0.3395371788	0.8540010599
27	0.3390898918	0.8540893835
28	0.3382201261	0.8547076488
29	0.3365686052	0.8556792086
30	0.3361828842	0.8565624448
31	0.3354966894	0.8571807101
32	0.3349176725	0.8571807101
33	0.3345434925	0.8576223282
34	0.3336108199	0.8585055644
35	0.3327046062	0.8581522699
36	0.3322238631	0.8584172408
37	0.3314286671	0.8583289172
38	0.3306119095	0.8595654478
39	0.329365221	0.8601837131
40	0.3283094925	0.859742095
41	0.3279521643	0.8598304187
42	0.3268327126	0.859742095
43	0.325691923	0.8594771242
44	0.3243540909	0.8606253312
45	0.3237493259	0.8611552729
46	0.3228988988	0.8623918036
47	0.3224900119	0.8623918036
48	0.3218106841	0.8625684508
49	0.3209221011	0.8632750397
50	0.3197480666	0.8630983925
51	0.3191337982	0.863451687
52	0.3186173171	0.8646882176
53	0.3180822627	0.8646882176
54	0.3173912148	0.8648648649
55	0.3168781852	0.8653948066
56	0.3164204259	0.8659247483
57	0.315665656	0.8663663664
58	0.315618545	0.8663663664
59	0.3151024902	0.8665430136
60	0.3144323209	0.8680445151
61	0.3136721088	0.8676912206
62	0.3130515632	0.8677795443
63	0.3124540728	0.8677795443
64	0.3117006811	0.8683978096
65	0.3108139352	0.8697226638
66	0.3102633345	0.8697226638
67	0.3094626063	0.8695460166
68	0.3085822874	0.8699876347
69	0.3078029345	0.8703409292
70	0.3073769352	0.8699876347
71	0.3071055307	0.8702526055
72	0.3064984505	0.8708708709
73	0.3061918365	0.8709591945
74	0.3055386159	0.8708708709
75	0.3048219492	0.8706942236
76	0.3046409611	0.8711358417
77	0.3036416235	0.8712241653
78	0.3033204883	0.8722840488
79	0.3026881536	0.8725490196
80	0.3019893253	0.8725490196
81	0.3012604959	0.8731672849
