iter	Passed	Remaining
0	82	82108
1	94	47179
2	107	35730
3	119	29733
4	132	26383
5	146	24193
6	160	22758
7	175	21780
8	190	20998
9	205	20306
10	219	19726
11	235	19378
12	249	18980
13	266	18793
14	281	18514
15	298	18381
16	315	18243
17	330	18048
18	348	17969
19	367	17983
20	385	17971
21	402	17880
22	418	17786
23	435	17704
24	450	17585
25	466	17462
26	479	17271
27	491	17077
28	505	16915
29	519	16806
30	534	16711
31	548	16592
32	562	16490
33	576	16379
34	590	16279
35	606	16246
36	622	16202
37	637	16150
38	652	16078
39	672	16130
40	687	16069
41	701	15990
42	715	15922
43	728	15827
44	740	15725
45	754	15641
46	767	15562
47	780	15480
48	793	15393
49	806	15315
50	819	15243
51	832	15178
52	845	15103
53	867	15196
54	895	15379
55	918	15477
56	964	15961
57	982	15960
58	998	15918
59	1014	15893
60	1031	15875
61	1048	15863
62	1064	15835
63	1080	15799
64	1097	15790
65	1114	15771
66	1132	15774
67	1148	15745
68	1182	15958
69	1251	16620
70	1277	16716
71	1314	16937
72	1339	17014
73	1374	17195
74	1398	17253
75	1417	17238
76	1484	17797
77	1510	17849
78	1533	17882
79	1554	17873
80	1596	18117
81	1625	18197
82	1642	18142
83	1658	18090
84	1676	18041
85	1695	18022
86	1712	17975
87	1731	17945
88	1750	17915
89	1767	17867
90	1783	17813
91	1797	17740
92	1812	17676
93	1825	17590
94	1837	17504
95	1850	17427
96	1863	17345
97	1883	17334
98	1930	17573
99	1959	17634
100	2001	17813
101	2020	17789
102	2038	17749
103	2054	17699
104	2071	17653
105	2087	17607
106	2106	17576
107	2124	17543
108	2138	17483
109	2153	17424
110	2169	17378
111	2183	17313
112	2198	17254
113	2213	17206
114	2230	17167
115	2248	17131
116	2268	17122
117	2287	17098
118	2309	17098
119	2327	17064
120	2344	17034
121	2361	16998
122	2376	16941
123	2391	16894
124	2405	16838
125	2419	16784
126	2432	16720
127	2444	16655
128	2457	16594
129	2470	16534
130	2483	16472
131	2497	16421
132	2510	16365
133	2523	16308
134	2537	16256
135	2551	16206
136	2564	16157
137	2579	16109
138	2594	16069
139	2609	16028
140	2623	15983
141	2638	15944
142	2654	15906
143	2667	15856
144	2685	15834
145	2701	15801
146	2715	15757
147	2729	15711
148	2742	15661
149	2755	15615
150	2769	15572
151	2782	15521
152	2794	15468
153	2806	15418
154	2819	15368
155	2831	15320
156	2844	15270
157	2857	15228
158	2872	15192
159	2886	15155
160	2946	15355
161	2967	15350
162	2984	15324
163	3001	15299
164	3018	15274
165	3035	15252
